[10:52:45] [系统] 已完成一键重置：波形已清空 -> Peak已归零 -> 日志已刷新。
[10:52:48] [RUNNING] Avg:-3684c (ΔH:[-3697,-3682,-3686,-3671]) | MaxDiff:26c (Limit:750c) | V:[2989,2942,2990,3000]RPM | I:[0.59,0.63,0.67,0.59]A
[10:52:49] [RUNNING] Avg:-3712c (ΔH:[-3733,-3720,-3686,-3707]) | MaxDiff:47c (Limit:750c) | V:[2977,2929,3000,2988]RPM | I:[0.59,0.63,0.67,0.59]A
[10:52:49] [RUNNING] Avg:-3742c (ΔH:[-3733,-3741,-3747,-3746]) | MaxDiff:14c (Limit:750c) | V:[3000,2939,2985,2987]RPM | I:[0.59,0.63,0.67,0.59]A
[10:52:49] [RUNNING] Avg:-3765c (ΔH:[-3801,-3765,-3747,-3746]) | MaxDiff:55c (Limit:750c) | V:[2972,2937,2998,3000]RPM | I:[0.56,0.63,0.67,0.59]A
[10:52:49] [RUNNING] Avg:-3835c (ΔH:[-3846,-3823,-3836,-3836]) | MaxDiff:23c (Limit:750c) | V:[2998,2957,2999,3000]RPM | I:[0.56,0.63,0.67,0.59]A
[10:52:49] [RUNNING] Avg:-3847c (ΔH:[-3846,-3823,-3860,-3860]) | MaxDiff:37c (Limit:750c) | V:[3000,2958,2985,2986]RPM | I:[0.56,0.63,0.67,0.59]A
[10:52:49] [RUNNING] Avg:-3896c (ΔH:[-3915,-3897,-3875,-3896]) | MaxDiff:40c (Limit:750c) | V:[2981,2937,3000,2988]RPM | I:[0.56,0.63,0.67,0.59]A
[10:52:49] [RUNNING] Avg:-3928c (ΔH:[-3951,-3921,-3920,-3920]) | MaxDiff:31c (Limit:750c) | V:[2986,2948,2999,3000]RPM | I:[0.56,0.63,0.67,0.59]A
[10:52:49] [RUNNING] Avg:-3946c (ΔH:[-3951,-3944,-3944,-3943]) | MaxDiff:8c (Limit:750c) | V:[2999,2948,2998,3000]RPM | I:[0.56,0.63,0.67,0.59]A
[10:52:49] [RUNNING] Avg:-3986c (ΔH:[-3999,-3982,-3983,-3982]) | MaxDiff:17c (Limit:750c) | V:[2994,2949,2998,3000]RPM | I:[0.56,0.63,0.67,0.59]A
[10:52:49] [RUNNING] Avg:-4015c (ΔH:[-4023,-4012,-4013,-4012]) | MaxDiff:11c (Limit:750c) | V:[2997,2949,2998,3000]RPM | I:[0.56,0.63,0.67,0.59]A
[10:52:49] [RUNNING] Avg:-4030c (ΔH:[-4023,-4012,-4043,-4042]) | MaxDiff:31c (Limit:750c) | V:[3000,2951,2982,2984]RPM | I:[0.56,0.63,0.67,0.59]A
[10:52:49] [TOTAL_DONE] Avg:-4179c (ΔH:[-4197,-4169,-4177,-4174]) | MaxDiff:34c (Limit:750c) | V:[0,0,0,0]RPM | I:[0.00,0.00,0.00,0.59]A
[10:52:49] Rx(Text): [SYS] Loaded Flash Abs Halls: L0=52806L1=52219L2=52738L3=52686
[10:52:49] Rx(Text): [SYS] System State -> READY, Halls Fully Stopped & Archived to Flash.

