[16:49:35] [RUNNING] Avg:117343c (ΔH:[117342,117346,117346,117339]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117373c (ΔH:[117371,117376,117376,117369]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117407c (ΔH:[117417,117406,117406,117399]) | MaxDiff:18c (Limit:750c) | V:[2989,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117437c (ΔH:[117431,117436,117436,117444]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117466c (ΔH:[117461,117465,117466,117474]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117496c (ΔH:[117506,117495,117496,117489]) | MaxDiff:17c (Limit:750c) | V:[2989,2996,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117526c (ΔH:[117521,117525,117526,117534]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117556c (ΔH:[117551,117555,117556,117564]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117590c (ΔH:[117596,117585,117586,117594]) | MaxDiff:11c (Limit:750c) | V:[2993,3000,2999,2994]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117616c (ΔH:[117611,117615,117616,117624]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117642c (ΔH:[117641,117645,117645,117639]) | MaxDiff:6c (Limit:750c) | V:[2998,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117672c (ΔH:[117671,117675,117675,117669]) | MaxDiff:6c (Limit:750c) | V:[2998,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117710c (ΔH:[117716,117705,117705,117714]) | MaxDiff:11c (Limit:750c) | V:[2993,2999,3000,2994]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117736c (ΔH:[117731,117735,117735,117744]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117762c (ΔH:[117761,117765,117765,117759]) | MaxDiff:6c (Limit:750c) | V:[2998,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117792c (ΔH:[117791,117795,117795,117789]) | MaxDiff:6c (Limit:750c) | V:[2998,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:35] [RUNNING] Avg:117830c (ΔH:[117836,117825,117825,117834]) | MaxDiff:11c (Limit:750c) | V:[2993,2999,3000,2994]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
